iter	Passed	Remaining
0	318	31501
1	420	20595
2	523	16936
3	605	14523
4	689	13108
5	757	11873
6	839	11157
7	903	10388
8	998	10091
9	1059	9535
10	1121	9071
11	1257	9224
12	1380	9239
13	1500	9214
14	1631	9243
15	1756	9223
16	1820	8887
17	1884	8584
18	2007	8557
19	2140	8562
20	2276	8562
21	2358	8360
22	2479	8302
23	2602	8241
24	2726	8180
25	2861	8145
26	2995	8099
27	3116	8014
28	3237	7925
29	3363	7847
30	3485	7757
31	3617	7687
32	3744	7603
33	3873	7519
34	3998	7425
35	4121	7327
36	4246	7231
37	4376	7140
38	4500	7039
39	4636	6955
40	4761	6851
41	4900	6767
42	4966	6583
43	5089	6476
44	5217	6376
45	5354	6285
46	5421	6113
47	5545	6007
48	5666	5897
49	5793	5793
50	5921	5688
51	6045	5580
52	6169	5471
53	6296	5363
54	6419	5252
55	6541	5140
56	6657	5022
57	6724	4869
58	6790	4719
59	6854	4569
60	6976	4460
61	7099	4351
62	7162	4206
63	7286	4098
64	7414	3992
65	7538	3883
66	7661	3773
67	7785	3663
68	7910	3554
69	8031	3442
70	8115	3314
71	8241	3205
72	8368	3095
73	8492	2983
74	8614	2871
75	8739	2759
76	8865	2648
77	8989	2535
78	9112	2422
79	9237	2309
80	9364	2196
81	9489	2083
82	9613	1968
83	9739	1855
84	9862	1740
85	9990	1626
86	10113	1511
87	10238	1396
88	10363	1280
89	10487	1165
90	10612	1049
91	10740	933
92	10868	818
93	10991	701
94	11114	584
95	11239	468
96	11363	351
97	11489	234
98	11609	117
99	11736	0
